state_abbr,state_desc,n_counties,pm25_wtd_mean,year
AK,Alaska,5,10.275,2015
AL,Alabama,18,9.021428571,2015
AR,Arkansas,11,8.822222222,2015
AZ,Arizona,13,7.7,2015
CA,California,51,9.83255814,2015
CO,Colorado,26,6.377777778,2015
CT,Connecticut,8,8.1,2015
DE,Delaware,3,8.566666667,2015
FL,Florida,38,6.541176471,2015
GA,Georgia,30,9.025,2015
HI,Hawaii,4,6.725,2015
IA,Iowa,19,8.415384615,2015
ID,Idaho,10,9.514285714,2015
IL,Illinois,26,9.093333333,2015
IN,Indiana,44,9.9,2015
KS,Kansas,10,7.75,2015
KY,Kentucky,28,8.769230769,2015
LA,Louisiana,21,8.37,2015
MA,Massachusetts,11,6.8,2015
MD,Maryland,16,9.2,2015
ME,Maine,11,7.32,2015
MI,Michigan,28,8.735294118,2015
MN,Minnesota,18,6.54,2015
MO,Missouri,24,9.585714286,2015
MS,Mississippi,11,8.74,2015
MT,Montana,14,9.418181818,2015
NC,North Carolina,41,7.705,2015
ND,North Dakota,10,5.911111111,2015
NE,Nebraska,9,7.5,2015
NH,New Hampshire,7,6.76,2015
NJ,New Jersey,16,9.023076923,2015
NM,New Mexico,9,6.633333333,2015
NV,Nevada,8,7.6,2015
NY,New York,28,7.971428571,2015
OH,Ohio,44,10.32,2015
OK,Oklahoma,19,7.78,2015
OR,Oregon,15,8.944444444,2015
PA,Pennsylvania,39,10.70416667,2015
PR,Puerto Rico,9,6.166666667,2015
RI,Rhode Island,3,7.4,2015
SC,South Carolina,18,8.2,2015
SD,South Dakota,10,6.588888889,2015
TN,Tennessee,23,8.366666667,2015
TX,Texas,35,9.32,2015
UT,Utah,11,6.75,2015
VA,Virginia,37,8.117647059,2015
VT,Vermont,3,7.2,2015
WA,Washington,11,7.76,2015
WI,Wisconsin,28,7.781818182,2015
WV,West Virginia,14,9.72,2015
WY,Wyoming,17,4.972727273,2015
NA,,1,10,2015
AK,Alaska,5,7.95,2016
AL,Alabama,17,8.041666667,2016
AR,Arkansas,11,8.822222222,2016
AZ,Arizona,13,8.866666667,2016
CA,California,51,9.209090909,2016
CO,Colorado,26,6.21,2016
CT,Connecticut,8,7.1,2016
DE,Delaware,3,8.9,2016
FL,Florida,37,6.54375,2016
GA,Georgia,30,8.905,2016
HI,Hawaii,4,6.65,2016
IA,Iowa,19,7.523076923,2016
ID,Idaho,9,8.5,2016
IL,Illinois,25,8.272727273,2016
IN,Indiana,41,8.565217391,2016
KS,Kansas,11,6.885714286,2016
KY,Kentucky,28,8.357142857,2016
LA,Louisiana,21,8.2,2016
MA,Massachusetts,13,6.055555556,2016
MD,Maryland,16,7.936363636,2016
ME,Maine,10,6.114285714,2016
MI,Michigan,28,7.55625,2016
MN,Minnesota,19,5.576470588,2016
MO,Missouri,23,7.788888889,2016
MS,Mississippi,10,8.26,2016
MT,Montana,13,6.516666667,2016
NC,North Carolina,36,8.30625,2016
ND,North Dakota,10,3.111111111,2016
NE,Nebraska,8,7.02,2016
NH,New Hampshire,7,5.18,2016
NJ,New Jersey,16,8.221428571,2016
NM,New Mexico,10,7.733333333,2016
NV,Nevada,8,7.275,2016
NY,New York,28,6.484615385,2016
OH,Ohio,43,8.636363636,2016
OK,Oklahoma,23,7.6,2016
OR,Oregon,13,6.6375,2016
PA,Pennsylvania,39,9.147619048,2016
PR,Puerto Rico,8,7.2,2016
RI,Rhode Island,3,6.533333333,2016
SC,South Carolina,17,8.775,2016
SD,South Dakota,10,4.766666667,2016
TN,Tennessee,21,8.464285714,2016
TX,Texas,35,8.8,2016
UT,Utah,12,7.45,2016
VA,Virginia,35,7.125,2016
VT,Vermont,3,5.766666667,2016
WA,Washington,13,6.72,2016
WI,Wisconsin,27,6.733333333,2016
WV,West Virginia,13,8.33,2016
WY,Wyoming,17,4.645454545,2016
NA,,1,NA,2016
