"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0500000US01003","Baldwin County, Alabama","76779","3010","56732","3829","90.4","1.6","59249","3562","N","N","29990","21408","N","N","N","N","N","N","N","N","N","N","-","**","N","N","43239","37990","N","N","36805","32583","N","N","54290","21283","88.4","1.9","59023","3675","3.1","1.1","41028","7801","24.5","2.2","62073","7841","40.3","2.3","63005","6256","32.2","2.0","47562","7653","49943","3287","75741","5089","N","N","81911","17937","N","N","74740","4568","N","N","85509","5320","N","N","34161","6317","N","N","65704","32964","26836","2574","31812","3580","58.2","5.9","32123","4908","50.8","6.3","27057","7246","7.4","3.3","44446","11143","41.8","5.9","31568","6364","38.2","5.9","31169","4776","3.7","1.8","70385","22884","36.3","(X)","(X)","(X)","38.6","(X)","(X)","(X)","30.7","(X)","(X)","(X)",
"0500000US01015","Calhoun County, Alabama","43972","1687","41687","3903","76.4","1.9","43774","5808","20.3","1.8","33694","11034","N","N","34528","26044","N","N","51817","39036","N","N","-","**","N","N","61262","42978","N","N","37904","30203","N","N","40451","33985","76.0","2.0","43812","5830","4.9","1.4","23944","21461","30.8","2.2","52393","12418","37.3","2.1","44738","10581","27.1","1.5","31668","2950","30403","1889","52838","3261","N","N","52297","9576","N","N","52981","2953","N","N","59353","4458","N","N","34604","8234","N","N","43940","14130","13569","1485","21597","2436","52.0","5.7","19207","4349","45.5","5.5","16711","4021","6.5","2.8","39552","19177","48.0","5.7","27262","11002","38.6","5.6","20921","2512","9.3","5.1","38974","10971","35.4","(X)","(X)","(X)","35.6","(X)","(X)","(X)","32.0","(X)","(X)","(X)",
"0500000US01043","Cullman County, Alabama","30299","1234","39411","3647","96.6","1.5","39892","4292","N","N","36726","5673","N","N","N","N","N","N","-","**","N","N","-","**","N","N","38476","1868","N","N","49093","42014","N","N","41574","18797","94.8","1.7","39737","4222","2.7","1.3","35105","7509","26.2","2.5","48785","4796","39.1","2.6","50297","9306","32.1","2.5","32279","6423","21551","1384","49937","4492","N","N","52175","9806","N","N","48763","4602","N","N","59225","6265","N","N","22478","7110","N","N","31488","15371","8748","1321","22614","5307","49.6","7.3","17856","5809","49.0","7.3","17463","5565","0.6","1.1","-","**","50.4","7.3","30070","10483","46.1","7.2","24914","11962","4.3","2.9","36296","30584","34.5","(X)","(X)","(X)","33.1","(X)","(X)","(X)","37.3","(X)","(X)","(X)",
"0500000US01049","DeKalb County, Alabama","25383","1190","35963","3259","89.7","3.4","36720","2866","N","N","25145","16204","N","N","100015","46266","N","N","-","**","N","N","-","**","N","N","28866","6917","N","N","55295","48544","N","N","29232","5414","86.7","2.9","36528","2843","2.6","1.3","12437","41676","31.9","2.9","35388","5697","37.5","2.8","42496","7799","28.0","1.9","30721","5784","18834","1335","40496","3287","N","N","34401","5653","N","N","49304","7006","N","N","49409","3565","N","N","21367","6797","N","N","41486","5717","6549","1089","16198","5370","52.5","9.7","13887","2845","48.3","8.3","12871","2183","4.2","4.1","60893","66515","47.5","9.7","19210","7296","42.9","9.6","18180","8696","4.6","4.2","65341","78287","38.2","(X)","(X)","(X)","40.1","(X)","(X)","(X)","31.7","(X)","(X)","(X)",
"0500000US01051","Elmore County, Alabama","29350","1102","52579","6661","78.3","2.5","58210","8913","N","N","35535","16093","N","N","-","**","N","N","N","N","N","N","-","**","N","N","-","**","N","N","N","N","N","N","49189","40242","78.0","2.5","58243","8888","3.6","1.8","40422","29156","33.7","3.4","52851","18150","39.0","3.1","69352","15059","23.7","2.1","48016","9076","21413","1872","67426","8432","N","N","63733","12124","N","N","75004","15424","N","N","81405","8000","N","N","24198","5250","N","N","40467","44457","7937","1425","34672","9506","55.8","8.2","22976","8671","49.0","9.1","20176","4875","6.9","4.1","49767","23615","44.2","8.2","41218","4086","42.2","8.4","40991","3505","2.0","1.7","54539","40324","34.1","(X)","(X)","(X)","35.0","(X)","(X)","(X)","30.2","(X)","(X)","(X)",
"0500000US01055","Etowah County, Alabama","38766","1489","41152","2983","82.2","2.2","44462","5538","15.9","1.9","22061","3565","N","N","19087","7121","N","N","N","N","N","N","-","**","N","N","-","**","N","N","N","N","N","N","34309","29433","80.4","2.7","44376","5490","2.9","1.3","15215","10034","25.6","2.9","45987","17788","40.6","2.7","50956","3167","30.8","1.9","38083","4747","26348","1553","53675","5121","37.8","3.6","57887","8081","62.2","3.6","51992","4873","69.5","4.6","65481","2977","24.5","4.0","24314","6565","6.0","2.6","33594","20043","12418","1392","25326","4668","55.9","6.0","21411","6595","51.1","6.0","19636","4903","4.8","3.0","61563","28637","44.1","6.0","26461","3864","37.9","6.1","25224","4907","6.2","3.6","64139","30385","39.7","(X)","(X)","(X)","39.5","(X)","(X)","(X)","35.5","(X)","(X)","(X)",
"0500000US01069","Houston County, Alabama","39167","959","42321","2690","71.6","1.4","51520","2346","26.4","1.4","25803","1943","N","N","N","N","N","N","75265","31924","N","N","-","**","N","N","81250","33050","N","N","33772","5424","N","N","37276","8788","70.2","1.3","51959","2520","3.3","0.7","17422","8405","30.4","1.2","41247","3329","37.0","1.5","53173","4903","29.3","1.1","35901","3076","25102","1015","54251","2554","38.6","2.2","46500","4255","61.4","2.2","58628","3261","68.1","2.5","72593","4809","24.4","2.3","24341","2265","7.5","1.6","33750","7811","14065","787","24527","2558","56.2","3.7","22030","1762","50.4","3.6","21407","1628","5.8","1.9","36174","13904","43.8","3.7","30397","5883","37.8","4.1","26658","6058","6.0","1.7","43617","6999","41.1","(X)","(X)","(X)","40.5","(X)","(X)","(X)","39.4","(X)","(X)","(X)",
"0500000US01073","Jefferson County, Alabama","261904","4316","50180","1412","54.2","0.9","65123","2896","41.7","0.9","36666","1854","N","N","44538","43655","N","N","75040","30610","N","N","-","**","N","N","56472","23814","N","N","30252","14069","2.4","0.3","44423","14975","53.3","0.9","65634","2789","3.3","0.5","23881","4168","34.3","0.9","52866","2682","38.5","0.9","59818","3272","23.9","0.6","36114","2893","164604","4611","66096","2236","41.7","1.7","59572","5739","58.3","1.7","69881","2888","65.1","1.9","87880","3368","27.8","1.6","32803","2432","7.1","1.2","51125","5326","97300","4173","29941","1826","55.0","2.0","27526","2647","49.1","2.1","24228","2372","5.9","1.2","64357","10596","45.0","2.0","32623","3269","38.6","2.2","30662","2863","6.4","1.4","42729","6458","38.9","(X)","(X)","(X)","41.6","(X)","(X)","(X)","33.2","(X)","(X)","(X)",
"0500000US01077","Lauderdale County, Alabama","37875","1391","43427","3414","88.3","1.9","45019","3092","N","N","36768","13438","N","N","-","**","N","N","250,000+","***","N","N","-","**","N","N","-","**","N","N","N","N","N","N","21043","16053","86.7","2.1","45692","3006","6.0","1.9","23080","5797","27.3","2.5","45715","6708","38.1","2.4","58097","12713","28.7","2.1","39680","5422","23256","1897","64042","7090","N","N","53939","9205","N","N","68318","4743","N","N","69566","4877","N","N","40303","12000","N","N","41742","21815","14619","1606","26743","3864","47.8","4.9","22650","3620","42.7","4.9","21532","3172","5.1","2.6","35608","10096","52.2","4.9","29292","4390","40.5","6.3","26436","6354","11.6","5.0","40570","16936","45.2","(X)","(X)","(X)","42.5","(X)","(X)","(X)","49.1","(X)","(X)","(X)",
