state_abbr,state_desc,n_counties,pm25_wtd_mean,year
AK,Alaska,5,10.275,2015
AL,Alabama,18,9.021428571,2015
AR,Arkansas,11,8.822222222,2015
AZ,Arizona,13,7.7,2015
CA,California,51,9.83255814,2015
CO,Colorado,26,6.377777778,2015
CT,Connecticut,8,8.1,2015
DE,Delaware,3,8.566666667,2015
FL,Florida,38,6.541176471,2015
GA,Georgia,30,9.025,2015
HI,Hawaii,4,6.725,2015
IA,Iowa,19,8.415384615,2015
ID,Idaho,10,9.514285714,2015
IL,Illinois,26,9.093333333,2015
IN,Indiana,44,9.9,2015
KS,Kansas,10,7.75,2015
KY,Kentucky,28,8.769230769,2015
LA,Louisiana,21,8.37,2015
MA,Massachusetts,11,6.8,2015
MD,Maryland,16,9.2,2015
ME,Maine,11,7.32,2015
MI,Michigan,28,8.735294118,2015
MN,Minnesota,18,6.54,2015
MO,Missouri,24,9.585714286,2015
MS,Mississippi,11,8.74,2015
MT,Montana,14,9.418181818,2015
NC,North Carolina,41,7.705,2015
ND,North Dakota,10,5.911111111,2015
NE,Nebraska,9,7.5,2015
NH,New Hampshire,7,6.76,2015
NJ,New Jersey,16,9.023076923,2015
NM,New Mexico,9,6.633333333,2015
NV,Nevada,8,7.6,2015
NY,New York,28,7.971428571,2015
OH,Ohio,44,10.32,2015
OK,Oklahoma,19,7.78,2015
OR,Oregon,15,8.944444444,2015
PA,Pennsylvania,39,10.70416667,2015
PR,Puerto Rico,9,6.166666667,2015
RI,Rhode Island,3,7.4,2015
SC,South Carolina,18,8.2,2015
SD,South Dakota,10,6.588888889,2015
TN,Tennessee,23,8.366666667,2015
TX,Texas,35,9.32,2015
UT,Utah,11,6.75,2015
VA,Virginia,37,8.117647059,2015
VT,Vermont,3,7.2,2015
WA,Washington,11,7.76,2015
WI,Wisconsin,28,7.781818182,2015
WV,West Virginia,14,9.72,2015
WY,Wyoming,17,4.972727273,2015
NA,,1,10,2015
